streamerId,impression_time,creatorId
102225672,141.17,102225672
103915007,4.33,103915007
104475810,140.5,104475810
106727011,30.67,106727011
107325962,98.0,107325962
107623052,7.33,107623052
108015390,163.5,108015390
114398349,2.67,114398349
114844990,177.5,114844990
117945361,36.0,117945361
120721744,13.33,120721744
122120683,214.0,122120683
123001968,26.0,123001968
123648104,312.67,123648104
123681064,272.17,123681064
125898422,3.17,125898422
126578508,3.33,126578508
127537753,50.67,127537753
128362861,51.17,128362861
130791566,10.33,130791566
131620175,65.0,131620175
133045915,27.0,133045915
133364288,5.83,133364288
134859149,2.17,134859149
136076844,63.0,136076844
137490620,11.17,137490620
137561429,17.5,137561429
137697282,138.5,137697282
137806127,3.0,137806127
138166460,1.67,138166460
138213347,2.5,138213347
138304290,5.67,138304290
138306417,42.5,138306417
138322446,109.33,138322446
138386672,70.83,138386672
138393010,142.83,138393010
138531016,39.83,138531016
138903575,34.67,138903575
138964248,15.0,138964248
139053435,8.67,139053435
139242563,7.0,139242563
139347192,55.67,139347192
139389422,20.67,139389422
139625290,23.67,139625290
139628291,5.83,139628291
139684485,113.33,139684485
139755669,73.5,139755669
139852266,5.17,139852266
140802379,35.67,140802379
142370979,72.67,142370979
144065963,49.17,144065963
144400971,6.83,144400971
145437019,89.33,145437019
147190698,1.83,147190698
148416060,105.17,148416060
148581087,3.17,148581087
148837688,160.5,148837688
150108352,22.33,150108352
150667093,48.83,150667093
152386794,116.67,152386794
156522150,7.5,156522150
158130411,13.0,158130411
158177056,1.67,158177056
158379761,144.67,158379761
160101118,38.0,160101118
161500253,95.33,161500253
162526257,148.67,162526257
163271157,214.17,163271157
165009288,2.5,165009288
165248416,43.83,165248416
165784057,151.67,165784057
166142368,4.67,166142368
167612447,19.5,167612447
168278158,94.5,168278158
169682928,2.33,169682928
171681834,17.33,171681834
172257231,5.0,172257231
172875549,37.33,172875549
173180109,42.83,173180109
173323705,137.0,173323705
174752574,18.0,174752574
175438165,5.17,175438165
175768925,81.67,175768925
175979971,158.67,175979971
176980945,29.5,176980945
177346153,12.33,177346153
179085682,2.0,179085682
179247595,98.67,179247595
179848471,187.83,179848471
180102576,250.17,180102576
180253589,152.33,180253589
182003442,42.83,182003442
182682257,8.67,182682257
183227965,9.17,183227965
184757020,177.33,184757020
187273422,165.83,187273422
188051913,10.0,188051913
189860520,43.83,189860520
190415415,211.0,190415415
192625475,12.17,192625475
192918111,18.5,192918111
194308230,4.33,194308230
194515782,7.33,194515782
195104404,87.33,195104404
197762051,1.67,197762051
197984477,126.5,197984477
200546724,18.33,200546724
203072432,1.5,203072432
203435847,35.0,203435847
204149397,1.5,204149397
206056964,30.17,206056964
209447909,59.33,209447909
209452056,28.83,209452056
217011592,6.33,217011592
217894773,92.5,217894773
218159762,1.83,218159762
222823240,5.33,222823240
224524220,74.33,224524220
226734116,1.17,226734116
227311373,118.33,227311373
228513624,71.33,228513624
231184219,2.67,231184219
232800590,21.5,232800590
234175534,36.67,234175534
240304635,18.17,240304635
240644944,27.67,240644944
245988762,9.33,245988762
246150602,78.83,246150602
248937084,127.33,248937084
249837478,28.83,249837478
251800301,10.83,251800301
252328842,1.33,252328842
255209995,18.83,255209995
256046053,120.33,256046053
258147715,75.83,258147715
261562512,74.5,261562512
262451416,151.83,262451416
263985401,74.17,263985401
265829143,56.33,265829143
266399517,1.83,266399517
267982213,51.67,267982213
268533348,4.83,268533348
268818411,3.67,268818411
269891540,12.17,269891540
273066797,88.67,273066797
274222066,2.83,274222066
400380644,85.0,400380644
401510700,130.83,401510700
404167785,1.33,404167785
406736820,41.0,406736820
409403209,90.83,409403209
410593436,23.0,410593436
411172389,66.83,411172389
414953678,7.0,414953678
415070215,6.5,415070215
419315427,153.5,419315427
422126939,12.67,422126939
422549442,12.17,422549442
424519849,189.67,424519849
424929135,73.33,424929135
430486348,52.83,430486348
432832864,8.17,432832864
432988407,29.67,432988407
433948047,17.0,433948047
433956388,69.67,433956388
434891434,154.33,434891434
437348614,76.83,437348614
438624550,76.17,438624550
439929472,24.83,439929472
442384709,5.67,442384709
442791148,41.83,442791148
447196811,92.5,447196811
448451282,6.83,448451282
448855671,14.83,448855671
449948596,1.17,449948596
453646627,135.67,453646627
455969600,95.17,455969600
457178029,45.0,457178029
458563205,134.0,458563205
463690401,3.83,463690401
466100399,86.17,466100399
466601728,24.67,466601728
471476125,83.67,471476125
473227320,158.83,473227320
484203814,36.67,484203814
488150182,7.17,488150182
490490521,1.83,490490521
497358147,76.67,497358147
500165229,4.67,500165229
510327608,73.83,510327608
517979459,71.67,517979459
544822401,84.0,544822401
63563054,7.33,63563054
82746070,7.5,82746070
83784748,2.5,83784748
88036341,123.5,88036341
88932612,27.83,88932612
614378994,4.5,V2_ahing235423_1616666785945
169942736,22.17,V2_alfmalr3123_1618028788034
66788974,2.17,V2_baramyyj_1619184192062
264962352,10.83,V2_bassheung_1614740078796
497898370,21.67,V2_bp0503_1617085048549
154299011,72.0,V2_cghzzang9_1616034709555
140951742,6.33,V2_d738471_1619280675156
216698376,9.67,V2_dbftlz5224_1618479523234
519242405,204.67,V2_dustn3446_1614773319746
584852197,31.17,V2_gytjs7422_1612956520564
614261083,99.33,V2_huiju3460_1612796755179
444028360,56.17,V2_inryun_1616114716158
137282324,28.33,V2_jjd194023_1614154330572
145792517,31.83,V2_jnp0528_1612892027460
167753488,4.83,V2_kcg9283_1616236835745
153376481,329.0,V2_khy428_1616589193232
129530787,10.67,V2_kimbab_1619156304398
183565254,20.33,V2_kjm0119_1613620165716
233949231,1.5,V2_kkttyy660011_1619369381254
47140199,2.33,V2_kkwisin0474_1615590999347
492506372,4.0,V2_koreadog_1616579020144
591699680,97.5,V2_lami0111_1612867724883
485604749,66.0,V2_lfreda_1616484581637
139386721,15.0,V2_lyonlyon00_1616168677239
153551533,74.0,V2_melb1212_1617371462902
424325950,25.33,V2_morang5979_1617896869633
173240263,44.0,V2_nopeimnida3326_1618031255642
604699093,10.17,V2_qjsro0000_1617948725365
242155660,20.0,V2_rlatnfla33_1615155044541
443989864,60.0,V2_saltyplum_1617355692918
629465037,66.0,V2_shinung2_1616005274237
191781465,101.33,V2_skaygs_1615457003645
