streamerId,rip,creatorId,ctr,viewer,peakview,airtime,contentsGraphData,content,timeGraphData,openHour,follower,impression,cost
102225672,0.67,102225672,1,6,20,6,"{""data"": [{""gameName"": ""Mount & Blade II: Bannerlord"", ""percent"": 0.36}, {""gameName"": ""Enlisted"", ""percent"": 0.26}, {""gameName"": ""Anno 1800"", ""percent"": 0.16}, {""gameName"": ""기타"", ""percent"": 0.22}]}",Mount & Blade II: Bannerlord,"{""data"": [{""hours"": 6, ""sumtime"": 0.47}, {""hours"": 7, ""sumtime"": 0.35}, {""hours"": 8, ""sumtime"": 0.37}, {""hours"": 9, ""sumtime"": 0.28}, {""hours"": 10, ""sumtime"": 0.26}, {""hours"": 11, ""sumtime"": 0.22}, {""hours"": 12, ""sumtime"": 0.2}, {""hours"": 13, ""sumtime"": 0.2}, {""hours"": 14, ""sumtime"": 0.24}, {""hours"": 15, ""sumtime"": 0.3}, {""hours"": 16, ""sumtime"": 0.29}, {""hours"": 17, ""sumtime"": 0.32}, {""hours"": 18, ""sumtime"": 0.4}, {""hours"": 19, ""sumtime"": 0.5}, {""hours"": 20, ""sumtime"": 0.62}, {""hours"": 21, ""sumtime"": 0.77}, {""hours"": 22, ""sumtime"": 0.74}, {""hours"": 23, ""sumtime"": 0.84}, {""hours"": 0, ""sumtime"": 0.88}, {""hours"": 1, ""sumtime"": 1.0}, {""hours"": 2, ""sumtime"": 0.95}, {""hours"": 3, ""sumtime"": 0.98}, {""hours"": 4, ""sumtime"": 0.79}, {""hours"": 5, ""sumtime"": 0.63}]}","새벽, 저녁",679,145,48
103915007,0.96,103915007,2,6,14,1,"{""data"": [{""gameName"": ""배틀그라운드 PC"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",배틀그라운드 PC,"{""data"": [{""hours"": 17, ""sumtime"": 0.19}, {""hours"": 18, ""sumtime"": 0.52}, {""hours"": 21, ""sumtime"": 0.06}, {""hours"": 22, ""sumtime"": 1.0}, {""hours"": 23, ""sumtime"": 0.97}, {""hours"": 0, ""sumtime"": 0.48}, {""hours"": 1, ""sumtime"": 0.52}]}","저녁, 새벽",686,35,69
104475810,0.86,104475810,0,29,141,5,"{""data"": [{""gameName"": ""월드 오브 워크래프트(WOW)"", ""percent"": 0.81}, {""gameName"": ""기타"", ""percent"": 0.19}]}",월드 오브 워크래프트(WOW),"{""data"": [{""hours"": 6, ""sumtime"": 0.17}, {""hours"": 7, ""sumtime"": 0.46}, {""hours"": 8, ""sumtime"": 0.81}, {""hours"": 9, ""sumtime"": 0.98}, {""hours"": 10, ""sumtime"": 1.0}, {""hours"": 11, ""sumtime"": 0.82}, {""hours"": 12, ""sumtime"": 0.66}, {""hours"": 13, ""sumtime"": 0.54}, {""hours"": 14, ""sumtime"": 0.34}, {""hours"": 15, ""sumtime"": 0.25}, {""hours"": 16, ""sumtime"": 0.19}, {""hours"": 17, ""sumtime"": 0.2}, {""hours"": 18, ""sumtime"": 0.11}, {""hours"": 19, ""sumtime"": 0.07}, {""hours"": 20, ""sumtime"": 0.12}, {""hours"": 21, ""sumtime"": 0.16}, {""hours"": 22, ""sumtime"": 0.16}, {""hours"": 23, ""sumtime"": 0.2}, {""hours"": 0, ""sumtime"": 0.17}, {""hours"": 1, ""sumtime"": 0.1}, {""hours"": 2, ""sumtime"": 0.1}, {""hours"": 3, ""sumtime"": 0.1}, {""hours"": 4, ""sumtime"": 0.06}, {""hours"": 5, ""sumtime"": 0.13}]}","오전, 오후",3023,748,299
107325962,0.81,107325962,3,2,7,6,"{""data"": [{""gameName"": ""데이 바이 데이라이트"", ""percent"": 0.31}, {""gameName"": ""배틀그라운드 PC"", ""percent"": 0.2}, {""gameName"": ""리그 오브 레전드"", ""percent"": 0.15}, {""gameName"": ""로스트아크 온라인"", ""percent"": 0.1}, {""gameName"": ""기타"", ""percent"": 0.24}]}",데이 바이 데이라이트,"{""data"": [{""hours"": 6, ""sumtime"": 0.07}, {""hours"": 15, ""sumtime"": 0.07}, {""hours"": 16, ""sumtime"": 0.12}, {""hours"": 17, ""sumtime"": 0.11}, {""hours"": 18, ""sumtime"": 0.14}, {""hours"": 19, ""sumtime"": 0.24}, {""hours"": 20, ""sumtime"": 0.35}, {""hours"": 21, ""sumtime"": 0.55}, {""hours"": 22, ""sumtime"": 0.71}, {""hours"": 23, ""sumtime"": 0.94}, {""hours"": 0, ""sumtime"": 0.95}, {""hours"": 1, ""sumtime"": 1.0}, {""hours"": 2, ""sumtime"": 0.91}, {""hours"": 3, ""sumtime"": 0.7}, {""hours"": 4, ""sumtime"": 0.41}, {""hours"": 5, ""sumtime"": 0.21}]}","새벽, 저녁",343,58,19
107623052,1.0,107623052,1,4,9,3,"{""data"": [{""gameName"": ""Puzzle & Dragons"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",Puzzle & Dragons,"{""data"": [{""hours"": 18, ""sumtime"": 0.21}, {""hours"": 19, ""sumtime"": 0.48}, {""hours"": 20, ""sumtime"": 0.62}, {""hours"": 21, ""sumtime"": 0.29}, {""hours"": 22, ""sumtime"": 0.38}, {""hours"": 23, ""sumtime"": 1.0}, {""hours"": 0, ""sumtime"": 0.94}, {""hours"": 1, ""sumtime"": 0.31}]}","저녁, 새벽",88,72,48
108015390,0.82,108015390,1,2,19,3,"{""data"": [{""gameName"": ""The Binding of Isaac: Afterbirth"", ""percent"": 0.75}, {""gameName"": ""영원회귀: 블랙서바이벌"", ""percent"": 0.16}, {""gameName"": ""기타"", ""percent"": 0.09}]}",The Binding of Isaac: Afterbirth,"{""data"": [{""hours"": 6, ""sumtime"": 0.2}, {""hours"": 7, ""sumtime"": 0.39}, {""hours"": 8, ""sumtime"": 0.43}, {""hours"": 9, ""sumtime"": 0.33}, {""hours"": 10, ""sumtime"": 0.23}, {""hours"": 11, ""sumtime"": 0.51}, {""hours"": 12, ""sumtime"": 0.56}, {""hours"": 13, ""sumtime"": 0.37}, {""hours"": 14, ""sumtime"": 0.32}, {""hours"": 15, ""sumtime"": 0.76}, {""hours"": 16, ""sumtime"": 0.85}, {""hours"": 17, ""sumtime"": 1.0}, {""hours"": 18, ""sumtime"": 0.63}, {""hours"": 19, ""sumtime"": 0.08}, {""hours"": 20, ""sumtime"": 0.17}, {""hours"": 21, ""sumtime"": 0.3}, {""hours"": 22, ""sumtime"": 0.3}, {""hours"": 23, ""sumtime"": 0.25}, {""hours"": 0, ""sumtime"": 0.03}, {""hours"": 1, ""sumtime"": 0.09}, {""hours"": 2, ""sumtime"": 0.09}, {""hours"": 3, ""sumtime"": 0.09}, {""hours"": 4, ""sumtime"": 0.1}, {""hours"": 5, ""sumtime"": 0.16}]}","오후, 오전",228,30,20
114844990,0.88,114844990,2,50,211,6,"{""data"": [{""gameName"": ""로스트아크 온라인"", ""percent"": 0.99}, {""gameName"": ""기타"", ""percent"": 0.01}]}",로스트아크 온라인,"{""data"": [{""hours"": 9, ""sumtime"": 0.05}, {""hours"": 10, ""sumtime"": 0.37}, {""hours"": 11, ""sumtime"": 0.95}, {""hours"": 12, ""sumtime"": 1.0}, {""hours"": 13, ""sumtime"": 0.99}, {""hours"": 14, ""sumtime"": 0.9}, {""hours"": 15, ""sumtime"": 0.75}, {""hours"": 16, ""sumtime"": 0.6}, {""hours"": 17, ""sumtime"": 0.5}, {""hours"": 18, ""sumtime"": 0.48}, {""hours"": 19, ""sumtime"": 0.52}, {""hours"": 20, ""sumtime"": 0.62}, {""hours"": 21, ""sumtime"": 0.83}, {""hours"": 22, ""sumtime"": 0.71}, {""hours"": 23, ""sumtime"": 0.6}, {""hours"": 0, ""sumtime"": 0.5}, {""hours"": 1, ""sumtime"": 0.36}, {""hours"": 2, ""sumtime"": 0.2}, {""hours"": 3, ""sumtime"": 0.09}, {""hours"": 4, ""sumtime"": 0.03}]}","오후, 저녁",9825,1584,528
117945361,0.85,117945361,1,2,8,2,"{""data"": [{""gameName"": ""몬스터 헌터 월드"", ""percent"": 0.32}, {""gameName"": ""배틀그라운드 PC"", ""percent"": 0.25}, {""gameName"": ""리그 오브 레전드"", ""percent"": 0.18}, {""gameName"": ""레인보우식스 : 시즈"", ""percent"": 0.11}, {""gameName"": ""기타"", ""percent"": 0.14}]}",몬스터 헌터 월드,"{""data"": [{""hours"": 13, ""sumtime"": 0.02}, {""hours"": 14, ""sumtime"": 0.26}, {""hours"": 15, ""sumtime"": 0.26}, {""hours"": 16, ""sumtime"": 0.18}, {""hours"": 19, ""sumtime"": 0.16}, {""hours"": 20, ""sumtime"": 0.68}, {""hours"": 21, ""sumtime"": 1.0}, {""hours"": 22, ""sumtime"": 0.6}, {""hours"": 23, ""sumtime"": 0.34}, {""hours"": 0, ""sumtime"": 0.18}, {""hours"": 1, ""sumtime"": 0.08}, {""hours"": 2, ""sumtime"": 0.09}, {""hours"": 3, ""sumtime"": 0.04}]}","저녁, 오후",436,20,20
120721744,0.8,120721744,2,3,12,3,"{""data"": [{""gameName"": ""레인보우식스 : 시즈"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",레인보우식스 : 시즈,"{""data"": [{""hours"": 14, ""sumtime"": 0.15}, {""hours"": 15, ""sumtime"": 0.17}, {""hours"": 20, ""sumtime"": 0.01}, {""hours"": 21, ""sumtime"": 0.26}, {""hours"": 22, ""sumtime"": 0.85}, {""hours"": 23, ""sumtime"": 1.0}, {""hours"": 0, ""sumtime"": 0.72}, {""hours"": 1, ""sumtime"": 0.46}, {""hours"": 2, ""sumtime"": 0.6}, {""hours"": 3, ""sumtime"": 0.54}, {""hours"": 4, ""sumtime"": 0.32}, {""hours"": 5, ""sumtime"": 0.25}]}","새벽, 저녁",237,43,29
122120683,0.85,122120683,2,3,15,6,"{""data"": [{""gameName"": ""레인보우식스 : 시즈"", ""percent"": 0.66}, {""gameName"": ""리그 오브 레전드"", ""percent"": 0.25}, {""gameName"": ""기타"", ""percent"": 0.09}]}",레인보우식스 : 시즈,"{""data"": [{""hours"": 6, ""sumtime"": 0.39}, {""hours"": 7, ""sumtime"": 0.38}, {""hours"": 8, ""sumtime"": 0.33}, {""hours"": 9, ""sumtime"": 0.38}, {""hours"": 10, ""sumtime"": 0.34}, {""hours"": 11, ""sumtime"": 0.36}, {""hours"": 12, ""sumtime"": 0.36}, {""hours"": 13, ""sumtime"": 0.41}, {""hours"": 14, ""sumtime"": 0.44}, {""hours"": 15, ""sumtime"": 0.43}, {""hours"": 16, ""sumtime"": 0.49}, {""hours"": 17, ""sumtime"": 0.48}, {""hours"": 18, ""sumtime"": 0.52}, {""hours"": 19, ""sumtime"": 0.6}, {""hours"": 20, ""sumtime"": 0.73}, {""hours"": 21, ""sumtime"": 0.9}, {""hours"": 22, ""sumtime"": 0.88}, {""hours"": 23, ""sumtime"": 0.95}, {""hours"": 0, ""sumtime"": 1.0}, {""hours"": 1, ""sumtime"": 0.86}, {""hours"": 2, ""sumtime"": 0.73}, {""hours"": 3, ""sumtime"": 0.62}, {""hours"": 4, ""sumtime"": 0.58}, {""hours"": 5, ""sumtime"": 0.4}]}","저녁, 새벽",367,92,31
