streamerId,rip,creatorId,ctr,viewer,peakview,airtime,contentsGraphData,content,timeGraphData,openHour,follower,impression,cost
102225672,0.6,102225672,1,6,21,5,"{""data"": [{""gameName"": ""Enlisted"", ""percent"": 0.37}, {""gameName"": ""Mount & Blade II: Bannerlord"", ""percent"": 0.36}, {""gameName"": ""기타"", ""percent"": 0.27}]}",Enlisted,"{""data"": [{""hours"": 6, ""sumtime"": 0.45}, {""hours"": 7, ""sumtime"": 0.32}, {""hours"": 8, ""sumtime"": 0.36}, {""hours"": 9, ""sumtime"": 0.27}, {""hours"": 10, ""sumtime"": 0.25}, {""hours"": 11, ""sumtime"": 0.21}, {""hours"": 12, ""sumtime"": 0.19}, {""hours"": 13, ""sumtime"": 0.19}, {""hours"": 14, ""sumtime"": 0.21}, {""hours"": 15, ""sumtime"": 0.24}, {""hours"": 16, ""sumtime"": 0.23}, {""hours"": 17, ""sumtime"": 0.26}, {""hours"": 18, ""sumtime"": 0.35}, {""hours"": 19, ""sumtime"": 0.51}, {""hours"": 20, ""sumtime"": 0.64}, {""hours"": 21, ""sumtime"": 0.73}, {""hours"": 22, ""sumtime"": 0.72}, {""hours"": 23, ""sumtime"": 0.79}, {""hours"": 0, ""sumtime"": 0.77}, {""hours"": 1, ""sumtime"": 0.93}, {""hours"": 2, ""sumtime"": 0.96}, {""hours"": 3, ""sumtime"": 1.0}, {""hours"": 4, ""sumtime"": 0.83}, {""hours"": 5, ""sumtime"": 0.68}]}","새벽, 저녁",679,108,43
103915007,1.0,103915007,2,6,13,1,"{""data"": [{""gameName"": ""배틀그라운드 PC"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",배틀그라운드 PC,"{""data"": [{""hours"": 17, ""sumtime"": 0.38}, {""hours"": 18, ""sumtime"": 1.0}, {""hours"": 23, ""sumtime"": 0.94}, {""hours"": 0, ""sumtime"": 0.94}, {""hours"": 1, ""sumtime"": 1.0}]}","새벽, 저녁",686,36,72
104475810,0.84,104475810,0,30,141,5,"{""data"": [{""gameName"": ""월드 오브 워크래프트(WOW)"", ""percent"": 0.81}, {""gameName"": ""기타"", ""percent"": 0.19}]}",월드 오브 워크래프트(WOW),"{""data"": [{""hours"": 6, ""sumtime"": 0.17}, {""hours"": 7, ""sumtime"": 0.43}, {""hours"": 8, ""sumtime"": 0.83}, {""hours"": 9, ""sumtime"": 0.98}, {""hours"": 10, ""sumtime"": 1.0}, {""hours"": 11, ""sumtime"": 0.86}, {""hours"": 12, ""sumtime"": 0.66}, {""hours"": 13, ""sumtime"": 0.54}, {""hours"": 14, ""sumtime"": 0.39}, {""hours"": 15, ""sumtime"": 0.28}, {""hours"": 16, ""sumtime"": 0.19}, {""hours"": 17, ""sumtime"": 0.2}, {""hours"": 18, ""sumtime"": 0.11}, {""hours"": 19, ""sumtime"": 0.07}, {""hours"": 20, ""sumtime"": 0.12}, {""hours"": 21, ""sumtime"": 0.16}, {""hours"": 22, ""sumtime"": 0.16}, {""hours"": 23, ""sumtime"": 0.2}, {""hours"": 0, ""sumtime"": 0.17}, {""hours"": 1, ""sumtime"": 0.1}, {""hours"": 2, ""sumtime"": 0.1}, {""hours"": 3, ""sumtime"": 0.1}, {""hours"": 4, ""sumtime"": 0.06}, {""hours"": 5, ""sumtime"": 0.13}]}","오전, 오후",3024,756,302
107325962,0.72,107325962,3,2,7,6,"{""data"": [{""gameName"": ""데이 바이 데이라이트"", ""percent"": 0.33}, {""gameName"": ""배틀그라운드 PC"", ""percent"": 0.2}, {""gameName"": ""리그 오브 레전드"", ""percent"": 0.13}, {""gameName"": ""소통/대화"", ""percent"": 0.11}, {""gameName"": ""기타"", ""percent"": 0.23}]}",데이 바이 데이라이트,"{""data"": [{""hours"": 6, ""sumtime"": 0.07}, {""hours"": 15, ""sumtime"": 0.07}, {""hours"": 16, ""sumtime"": 0.12}, {""hours"": 17, ""sumtime"": 0.11}, {""hours"": 18, ""sumtime"": 0.13}, {""hours"": 19, ""sumtime"": 0.23}, {""hours"": 20, ""sumtime"": 0.31}, {""hours"": 21, ""sumtime"": 0.58}, {""hours"": 22, ""sumtime"": 0.72}, {""hours"": 23, ""sumtime"": 0.95}, {""hours"": 0, ""sumtime"": 0.95}, {""hours"": 1, ""sumtime"": 1.0}, {""hours"": 2, ""sumtime"": 0.92}, {""hours"": 3, ""sumtime"": 0.72}, {""hours"": 4, ""sumtime"": 0.42}, {""hours"": 5, ""sumtime"": 0.2}]}","새벽, 저녁",343,52,17
107623052,1.0,107623052,1,5,9,4,"{""data"": [{""gameName"": ""Puzzle & Dragons"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",Puzzle & Dragons,"{""data"": [{""hours"": 19, ""sumtime"": 0.31}, {""hours"": 20, ""sumtime"": 0.49}, {""hours"": 21, ""sumtime"": 0.4}, {""hours"": 22, ""sumtime"": 0.51}, {""hours"": 23, ""sumtime"": 1.0}, {""hours"": 0, ""sumtime"": 0.8}, {""hours"": 1, ""sumtime"": 0.26}]}","저녁, 새벽",88,120,60
108015390,0.78,108015390,1,2,19,3,"{""data"": [{""gameName"": ""The Binding of Isaac: Afterbirth"", ""percent"": 0.8}, {""gameName"": ""영원회귀: 블랙서바이벌"", ""percent"": 0.15}, {""gameName"": ""기타"", ""percent"": 0.05}]}",The Binding of Isaac: Afterbirth,"{""data"": [{""hours"": 6, ""sumtime"": 0.19}, {""hours"": 7, ""sumtime"": 0.37}, {""hours"": 8, ""sumtime"": 0.41}, {""hours"": 9, ""sumtime"": 0.32}, {""hours"": 10, ""sumtime"": 0.22}, {""hours"": 11, ""sumtime"": 0.49}, {""hours"": 12, ""sumtime"": 0.54}, {""hours"": 13, ""sumtime"": 0.36}, {""hours"": 14, ""sumtime"": 0.33}, {""hours"": 15, ""sumtime"": 0.84}, {""hours"": 16, ""sumtime"": 0.93}, {""hours"": 17, ""sumtime"": 1.0}, {""hours"": 18, ""sumtime"": 0.6}, {""hours"": 19, ""sumtime"": 0.08}, {""hours"": 20, ""sumtime"": 0.18}, {""hours"": 21, ""sumtime"": 0.37}, {""hours"": 22, ""sumtime"": 0.33}, {""hours"": 23, ""sumtime"": 0.28}, {""hours"": 0, ""sumtime"": 0.05}, {""hours"": 1, ""sumtime"": 0.13}, {""hours"": 2, ""sumtime"": 0.14}, {""hours"": 3, ""sumtime"": 0.17}, {""hours"": 4, ""sumtime"": 0.18}, {""hours"": 5, ""sumtime"": 0.19}]}","오후, 오전",228,28,19
114844990,0.81,114844990,2,51,211,6,"{""data"": [{""gameName"": ""로스트아크 온라인"", ""percent"": 0.99}, {""gameName"": ""기타"", ""percent"": 0.01}]}",로스트아크 온라인,"{""data"": [{""hours"": 9, ""sumtime"": 0.05}, {""hours"": 10, ""sumtime"": 0.32}, {""hours"": 11, ""sumtime"": 0.88}, {""hours"": 12, ""sumtime"": 0.98}, {""hours"": 13, ""sumtime"": 1.0}, {""hours"": 14, ""sumtime"": 0.97}, {""hours"": 15, ""sumtime"": 0.82}, {""hours"": 16, ""sumtime"": 0.7}, {""hours"": 17, ""sumtime"": 0.6}, {""hours"": 18, ""sumtime"": 0.58}, {""hours"": 19, ""sumtime"": 0.57}, {""hours"": 20, ""sumtime"": 0.64}, {""hours"": 21, ""sumtime"": 0.68}, {""hours"": 22, ""sumtime"": 0.6}, {""hours"": 23, ""sumtime"": 0.49}, {""hours"": 0, ""sumtime"": 0.41}, {""hours"": 1, ""sumtime"": 0.33}, {""hours"": 2, ""sumtime"": 0.18}, {""hours"": 3, ""sumtime"": 0.08}, {""hours"": 4, ""sumtime"": 0.03}]}","오후, 저녁",9827,1487,496
117945361,0.85,117945361,1,2,8,2,"{""data"": [{""gameName"": ""몬스터 헌터 월드"", ""percent"": 0.4}, {""gameName"": ""배틀그라운드 PC"", ""percent"": 0.19}, {""gameName"": ""리그 오브 레전드"", ""percent"": 0.15}, {""gameName"": ""레인보우식스 : 시즈"", ""percent"": 0.12}, {""gameName"": ""기타"", ""percent"": 0.14}]}",몬스터 헌터 월드,"{""data"": [{""hours"": 13, ""sumtime"": 0.02}, {""hours"": 14, ""sumtime"": 0.26}, {""hours"": 15, ""sumtime"": 0.26}, {""hours"": 16, ""sumtime"": 0.18}, {""hours"": 19, ""sumtime"": 0.16}, {""hours"": 20, ""sumtime"": 0.7}, {""hours"": 21, ""sumtime"": 1.0}, {""hours"": 22, ""sumtime"": 0.65}, {""hours"": 23, ""sumtime"": 0.24}, {""hours"": 0, ""sumtime"": 0.11}, {""hours"": 1, ""sumtime"": 0.08}, {""hours"": 2, ""sumtime"": 0.09}, {""hours"": 3, ""sumtime"": 0.04}]}","저녁, 오후",436,20,20
120721744,0.76,120721744,2,3,12,3,"{""data"": [{""gameName"": ""레인보우식스 : 시즈"", ""percent"": 1.0}, {""gameName"": ""기타"", ""percent"": 0.0}]}",레인보우식스 : 시즈,"{""data"": [{""hours"": 14, ""sumtime"": 0.2}, {""hours"": 15, ""sumtime"": 0.33}, {""hours"": 20, ""sumtime"": 0.02}, {""hours"": 21, ""sumtime"": 0.35}, {""hours"": 22, ""sumtime"": 0.8}, {""hours"": 23, ""sumtime"": 1.0}, {""hours"": 0, ""sumtime"": 0.76}, {""hours"": 1, ""sumtime"": 0.61}, {""hours"": 2, ""sumtime"": 0.8}, {""hours"": 3, ""sumtime"": 0.59}, {""hours"": 4, ""sumtime"": 0.33}, {""hours"": 5, ""sumtime"": 0.06}]}","새벽, 저녁",237,41,27
122120683,0.77,122120683,2,3,15,6,"{""data"": [{""gameName"": ""레인보우식스 : 시즈"", ""percent"": 0.7}, {""gameName"": ""리그 오브 레전드"", ""percent"": 0.24}, {""gameName"": ""기타"", ""percent"": 0.06}]}",레인보우식스 : 시즈,"{""data"": [{""hours"": 6, ""sumtime"": 0.35}, {""hours"": 7, ""sumtime"": 0.34}, {""hours"": 8, ""sumtime"": 0.3}, {""hours"": 9, ""sumtime"": 0.39}, {""hours"": 10, ""sumtime"": 0.41}, {""hours"": 11, ""sumtime"": 0.48}, {""hours"": 12, ""sumtime"": 0.47}, {""hours"": 13, ""sumtime"": 0.5}, {""hours"": 14, ""sumtime"": 0.47}, {""hours"": 15, ""sumtime"": 0.47}, {""hours"": 16, ""sumtime"": 0.55}, {""hours"": 17, ""sumtime"": 0.53}, {""hours"": 18, ""sumtime"": 0.52}, {""hours"": 19, ""sumtime"": 0.59}, {""hours"": 20, ""sumtime"": 0.74}, {""hours"": 21, ""sumtime"": 0.91}, {""hours"": 22, ""sumtime"": 0.94}, {""hours"": 23, ""sumtime"": 1.0}, {""hours"": 0, ""sumtime"": 1.0}, {""hours"": 1, ""sumtime"": 0.87}, {""hours"": 2, ""sumtime"": 0.7}, {""hours"": 3, ""sumtime"": 0.56}, {""hours"": 4, ""sumtime"": 0.52}, {""hours"": 5, ""sumtime"": 0.36}]}","저녁, 새벽",367,83,28
